,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S01_14660x106900-slice0,0.12560101,0.000609475,0.10427697,0.05393437,1.4783395e-06,0.0003440365,0.00045234818,0.06732134,0.00010625146,0.000578395,0.24754381,0.22008552,0.17888463,3.0171603e-05,0.00017409159,5.6070898e-05
E16-18h_a_S01_14660x106920-slice0,0.27058557,3.398401e-05,0.25264975,0.0132555,1.6710951e-06,0.0003181156,0.07206938,0.08586268,0.00030689692,0.048449155,0.001024894,0.23641394,0.00012587532,1.4734985e-05,0.00032468454,0.01856318
E16-18h_a_S01_14660x106940-slice0,0.30204752,0.0001593257,0.13268812,0.06019824,8.502684e-08,0.00016731907,0.12238268,0.078991756,0.00013455818,0.0017506727,0.120708585,0.13245162,1.0529497e-05,4.917629e-05,3.0070754e-07,0.048259567
E16-18h_a_S01_14660x106960-slice0,0.25310653,5.3635973e-05,0.12872973,0.057574883,1.4224044e-06,0.028084889,0.037062872,0.03787754,3.7679074e-05,1.8119628e-07,0.23867586,0.14357412,0.000106182015,3.201965e-07,1.3468562e-09,0.07511416
E16-18h_a_S01_14680x106860-slice0,0.15487897,1.3753944e-06,0.22867805,0.07647225,1.6993397e-08,8.0893105e-06,0.15061496,0.025560329,9.1249035e-07,0.11724995,0.01969517,0.22460485,0.0015922054,0.0005232284,7.205135e-10,0.00011968994
E16-18h_a_S01_14680x106880-slice0,0.00058506656,0.16148303,0.18439096,0.041948173,3.0846556e-07,0.0005963594,0.062454816,0.16666865,0.00029493,0.0010561341,0.07660135,0.12869985,0.03907727,0.11527623,3.048483e-07,0.020866564
E16-18h_a_S01_14680x106900-slice0,0.054074124,7.2165974e-05,0.20449553,0.024279652,0.00011908409,0.05064141,0.17462032,0.18041271,0.0005013766,0.09113887,7.937515e-05,0.19177446,0.026534146,0.00037209963,0.00012520199,0.0007595474
E16-18h_a_S01_14680x106920-slice0,0.46726814,1.444177e-07,0.205939,0.003423414,2.1322546e-08,3.9779516e-05,0.00065542327,0.0016084837,0.038500942,0.024066629,3.4335037e-06,0.22320037,2.0827409e-05,0.008724642,5.6143467e-08,0.026548717
E16-18h_a_S01_14680x106940-slice0,0.1486274,4.089962e-06,0.24018706,0.038979817,0.00012508681,0.002236811,0.068557754,0.1621709,7.364759e-05,0.0152224535,0.00023346282,0.007787153,0.07208488,0.00027880725,0.21563989,0.02779072
E16-18h_a_S01_14680x106960-slice0,0.18517718,2.3923676e-05,0.16679095,0.19224222,2.2448214e-06,0.061828084,0.04311273,0.071520105,7.676975e-05,0.00064770406,0.00025556626,0.13215281,0.002326425,0.009075633,1.1604783e-06,0.1347665
E16-18h_a_S01_14680x106980-slice0,0.28281978,2.9458915e-06,0.13288653,0.023246355,5.960483e-05,0.00010082653,0.08237391,0.0010280074,3.6703022e-05,0.00017075143,0.05965763,0.11272054,4.940425e-05,0.28273538,6.01216e-07,0.022110973
E16-18h_a_S01_14680x107000-slice0,0.24766625,1.5953079e-08,0.2044309,5.739375e-05,0.00020213374,7.597053e-08,0.0009882099,0.00041960782,1.5905592e-06,0.008455364,0.26500472,0.27251467,1.5517202e-05,0.00024246844,8.251601e-09,1.0854338e-06
E16-18h_a_S01_14700x106820-slice0,0.0010730899,5.516494e-07,0.12417966,0.0077666463,5.3194776e-07,0.09542982,0.05875898,0.05612373,5.9422546e-06,0.08804914,0.0037486039,0.20669188,4.5122642e-06,0.13059859,0.18468004,0.042888228
E16-18h_a_S01_14700x106840-slice0,0.2528349,2.939818e-10,0.11292105,0.08353348,1.4074142e-07,3.041578e-05,0.06747208,0.097768374,8.573141e-07,0.011924514,0.057358477,0.3153696,1.9712863e-07,0.00031649208,2.612397e-05,0.00044326525
E16-18h_a_S01_14700x106860-slice0,0.002135908,6.457942e-06,0.22085209,0.051846858,1.47333e-07,8.51514e-06,0.004397448,0.053797968,1.0521164e-05,0.00016644804,0.4470022,0.21056886,6.734797e-06,0.000519672,7.286383e-05,0.008607238
E16-18h_a_S01_14700x106880-slice0,0.08096528,2.146284e-05,0.14445601,0.10653752,2.828206e-07,0.0011338397,0.00520628,0.16700529,0.00010490438,0.0022859392,0.12431955,0.18816,0.028427962,0.0032680344,2.6957977e-08,0.14810768
E16-18h_a_S01_14700x106900-slice0,0.31643444,8.603084e-06,0.16908517,0.059152182,1.2877604e-07,0.000111495814,0.2190884,0.021414965,0.00020695504,6.812671e-08,2.2153446e-05,0.16350627,5.119009e-07,0.00013785764,1.6951077e-10,0.05083076
E16-18h_a_S01_14700x106920-slice0,0.2173015,2.9727687e-07,0.15570271,0.06912917,4.550827e-06,3.3283435e-05,0.12524587,0.2074392,0.00036959277,0.00078147,4.055786e-05,0.21629274,9.54159e-07,2.5777812e-05,2.091618e-07,0.0076322057
E16-18h_a_S01_14700x106940-slice0,0.16433729,1.3052196e-06,0.15584026,0.00037608703,4.20279e-06,2.3810338e-05,0.105379805,0.14584027,7.03952e-05,0.12170499,1.2525681e-05,0.2080835,0.00010257652,0.072728366,5.7818797e-06,0.02548893
E16-18h_a_S01_14700x106960-slice0,0.16188312,0.005291227,0.19474828,3.5618094e-05,0.00013940474,8.56285e-06,0.1994947,0.20815776,9.823964e-05,0.07917593,0.052885078,0.095202126,0.0005153477,0.0009816865,9.754184e-06,0.0013731024
E16-18h_a_S01_14700x106980-slice0,0.18041886,1.2336992e-08,0.17919101,0.08037402,0.00024808833,1.6877954e-06,0.13798124,0.076098196,4.4096614e-06,0.00027267926,1.6970921e-06,0.2556271,0.06468349,0.0003644637,2.5962894e-08,0.02473302
E16-18h_a_S01_14700x107000-slice0,0.102630384,3.89768e-06,0.20050085,0.1580708,3.3403594e-05,1.2202754e-05,0.07762993,8.19607e-05,0.00012055132,0.09705857,0.14744475,0.17698428,2.1694983e-07,2.3416365e-05,8.044173e-06,0.03939673
E16-18h_a_S01_14700x107020-slice0,0.108091176,6.3581824e-06,0.18628205,0.00035858972,0.0011382854,5.1913355e-07,0.3349053,6.802988e-06,0.00013060018,2.0941012e-05,0.06526549,0.30179164,0.0019205387,2.0786779e-06,3.226323e-05,4.7339963e-05
E16-18h_a_S01_14700x107040-slice0,0.47948125,3.6127595e-10,0.11665538,0.19394094,5.6749737e-05,6.6961525e-07,0.0003595317,3.489782e-08,1.1036937e-05,8.723669e-06,0.048967194,0.15580812,0.00059891306,5.126677e-05,2.0792812e-09,0.004060185
E16-18h_a_S01_14720x106800-slice0,0.041857444,0.0008712055,0.14726636,0.11279796,1.4095072e-07,0.0001285465,0.094798885,0.13792692,0.0003425361,0.037192486,0.03682059,0.31395298,3.5086762e-07,0.075715505,1.6535757e-06,0.00032643316
E16-18h_a_S01_14720x106820-slice0,0.00111039,9.731545e-06,0.16708636,0.16001146,6.6761606e-07,2.7085513e-05,0.033284843,0.17970885,3.0372112e-05,0.0033104848,0.092395514,0.2930355,1.7127469e-06,0.0009146685,0.00018397275,0.06888837
E16-18h_a_S01_14720x106840-slice0,0.103597336,1.2609165e-06,0.17659551,0.00011024258,1.3979427e-06,0.00063525466,0.00032246113,0.08609195,7.0900736e-05,0.1252949,0.16875023,0.20618401,1.0501017e-06,0.02040902,0.004357399,0.10757717
E16-18h_a_S01_14720x106860-slice0,0.07004191,1.6171091e-08,0.21541142,0.0775108,2.1618655e-07,5.1807416e-05,0.0031924248,0.11509275,2.9133085e-05,0.11514852,0.08434718,0.23048544,0.00023900956,5.3507145e-05,3.6209198e-07,0.08839552
E16-18h_a_S01_14720x106880-slice0,0.09812321,3.728919e-05,0.2141142,4.5538938e-05,2.8746066e-05,4.5362172e-05,0.0003447956,0.15259889,0.0011084245,0.05139226,0.2104852,0.15541168,0.00014307511,5.9397084e-05,1.0216969e-06,0.11606096
E16-18h_a_S01_14720x106900-slice0,0.0039285356,3.2357653e-05,0.22461942,8.3934734e-05,3.311563e-06,0.206318,0.07520198,0.081782825,0.00041104265,3.344997e-05,0.13775891,0.1838137,8.36578e-06,4.1077514e-05,0.00034538706,0.0856177
E16-18h_a_S01_14720x106920-slice0,0.18376854,4.5918065e-07,0.23923789,0.053048868,9.701586e-05,4.5798235e-05,0.09937069,0.05680416,0.00013153256,0.00017651035,0.00020966641,0.27426752,4.9427363e-05,0.0027760477,1.5895645e-06,0.0900143
E16-18h_a_S01_14720x106940-slice0,0.29954746,0.0009906234,0.22992826,0.017283017,0.0007668263,0.00028759174,0.052902393,0.0004694159,1.2350335e-05,0.00021005355,0.15936428,0.18757594,0.001642205,0.0011292482,3.469453e-05,0.0478556
E16-18h_a_S01_14720x106960-slice0,0.2427333,6.858219e-05,0.2991061,0.03260035,0.05828385,0.00021200544,0.17219022,0.00070623646,1.04296805e-05,0.04857493,4.616565e-05,0.09620559,6.337615e-05,0.04742499,6.270464e-08,0.001773839
E16-18h_a_S01_14720x106980-slice0,0.26538268,0.00050370506,0.26818794,0.057198636,0.00013438828,1.4810333e-05,0.20407638,0.012489732,4.2452957e-06,5.055701e-05,0.021939613,0.11796899,6.658783e-05,1.3102522e-05,1.7883071e-08,0.051968604
E16-18h_a_S01_14720x107000-slice0,0.07727046,1.5516955e-06,0.26365358,0.046355546,0.0001342686,0.00019944184,0.11564571,0.21291836,2.0405885e-05,1.2420378e-07,5.083335e-05,0.15139185,0.13178998,5.4112924e-08,4.4263867e-05,0.0005236224
E16-18h_a_S01_14720x107020-slice0,0.2051247,3.2735024e-05,0.16136068,0.00045068952,5.2616923e-07,0.19829004,0.007407416,6.0877387e-06,3.111263e-05,8.1109255e-07,0.24796781,0.0915309,0.032142647,5.508572e-05,0.00026431665,0.05533443
E16-18h_a_S01_14720x107040-slice0,0.38736212,1.3425889e-06,0.2130026,0.074220866,8.314875e-06,8.8507026e-05,0.14487578,1.0902348e-07,0.00023962762,1.4406745e-08,0.002471556,0.12602328,0.051285073,0.00033951164,2.4773408e-08,8.134489e-05
E16-18h_a_S01_14740x106760-slice0,0.08477133,4.1671057e-05,0.20939481,0.00060617714,8.4336236e-05,0.00013670186,0.0035425453,0.09133321,0.0967007,0.04239393,0.20820652,0.21825281,0.00028552956,8.001637e-05,1.900074e-07,0.04416948
E16-18h_a_S01_14740x106780-slice0,0.0014446698,1.40074e-07,0.14074682,0.003839467,2.3524766e-05,7.953071e-06,0.0015307288,0.15067226,0.035470817,0.0012591558,0.19909221,0.3433341,1.0645639e-06,0.00028725935,2.6880502e-07,0.12228953
E16-18h_a_S01_14740x106800-slice0,0.10010522,1.4328247e-05,0.21591236,0.04440353,4.1422536e-05,3.702261e-05,0.23067936,0.11043173,0.03308197,0.03700739,0.0061488184,0.18407258,0.00019405253,0.001450558,1.15447565e-05,0.036408097
E16-18h_a_S01_14740x106820-slice0,0.0006498052,2.889458e-06,0.18918033,0.042003393,2.6354899e-06,0.0002582583,0.321494,0.08415294,0.022122078,0.00023615909,0.012021103,0.15395176,2.3657574e-05,0.16030061,6.926326e-05,0.013531086
E16-18h_a_S01_14740x106840-slice0,0.023708379,5.516241e-08,0.22373454,0.046447862,1.2060436e-06,1.316553e-07,0.00019955644,0.114889815,0.00025031058,0.10161162,0.12531911,0.31232807,5.0190797e-06,2.1228394e-05,1.7457636e-05,0.051465616
E16-18h_a_S01_14740x106860-slice0,0.019205531,1.720765e-05,0.3180157,6.4074743e-07,2.6010544e-05,2.6263064e-07,0.15370929,0.06456527,0.000316999,0.019637939,0.123368494,0.2287862,0.030341709,0.00011676543,0.0008283712,0.041063532
E16-18h_a_S01_14740x106880-slice0,0.24423526,1.5729182e-05,0.23573261,0.00025679005,1.9305135e-06,0.00010721971,0.0008600423,0.064335465,0.00016568383,0.053886514,0.116217256,0.2197582,0.0014395169,1.3664629e-05,2.1519013e-07,0.06297387
E16-18h_a_S01_14740x106900-slice0,0.040487345,7.664996e-05,0.2163172,1.1370324e-07,0.0063855266,2.4537263e-05,0.00014078175,0.16085307,0.00018354398,6.056472e-05,0.08317809,0.32900125,0.013876279,2.2930483e-06,0.024123352,0.12528937
E16-18h_a_S01_14740x106920-slice0,0.0008059297,2.4339452e-05,0.28363588,8.493545e-05,0.0002657276,0.0036055406,0.00015396567,0.051902022,0.000105697225,0.0006010059,0.019620627,0.19109955,0.102864936,0.0008019169,0.09966405,0.24476388
E16-18h_a_S01_14740x106940-slice0,0.06034514,0.0008226304,0.21180703,0.012460003,0.0024201532,0.05463028,0.0060952264,0.09389079,0.043711375,0.07418405,0.16585872,0.23568802,0.00059598195,0.000616333,7.061552e-05,0.036803648
E16-18h_a_S01_14740x106960-slice0,0.1316355,0.17251629,0.23385936,0.00018138933,8.182e-05,0.010381598,0.0142915,0.051652737,0.0001880483,0.033985615,0.017294267,0.22625704,7.396581e-05,0.00010022425,1.089671e-05,0.10748976
E16-18h_a_S01_14740x106980-slice0,0.24774334,5.311535e-05,0.28956693,0.08151515,0.0013979237,5.8649484e-06,0.056451686,0.088289306,6.967241e-05,0.0007033534,4.2457075e-05,0.23015179,7.166808e-05,3.470125e-06,3.1233226e-06,0.0039312337
E16-18h_a_S01_14740x107000-slice0,0.24808902,0.00037825858,0.19548652,0.038844112,1.329324e-06,0.06042046,0.0029789114,0.02185618,0.056315184,0.0005073911,0.0954135,0.1373816,0.00035422287,2.1980522e-06,2.2387956e-05,0.14194882
E16-18h_a_S01_14740x107020-slice0,0.38549745,0.0012258977,0.27451563,0.092236996,2.0138318e-06,0.001208691,0.012664903,1.8869992e-05,0.0014891257,7.8638344e-08,0.00010380327,0.13920331,0.0002399929,0.005983487,0.08559037,1.9365107e-05
