,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S06_3200x113980-slice5,2.1281966e-24,1.3444864e-24,0.8942561,8.941916e-08,0.01303179,5.628543e-25,1.7548319e-17,9.4051263e-26,1.9374539e-12,3.4747836e-24,1.8988997e-09,0.092712,1.3192917e-24,1.016367e-24,4.0112007e-09,5.3073714e-25
E16-18h_a_S06_3200x114000-slice5,1.6566343e-22,9.996764e-23,0.85874575,9.647353e-12,0.0941326,4.0150928e-23,6.252781e-13,7.982769e-24,2.9655466e-11,1.8555264e-22,1.0255959e-09,0.047121488,8.93067e-23,7.0097625e-23,1.200699e-07,4.3395955e-23
E16-18h_a_S06_3200x114020-slice5,1.9138784e-21,1.2107064e-21,0.8869579,1.9187256e-09,0.0549226,4.583121e-22,1.7729808e-10,1.1426802e-22,8.079496e-12,1.9491039e-21,8.7453794e-10,0.058119543,1.0399029e-21,8.0935205e-22,3.3682472e-08,1.3362045e-21
E16-18h_a_S06_3200x114040-slice5,1.0856326e-20,6.3877314e-21,0.8254039,2.547174e-12,0.088881224,2.439939e-21,2.3932709e-10,1.207802e-21,5.4973985e-09,1.074574e-20,7.8333784e-08,0.08571407,5.7647832e-21,4.267452e-21,6.855352e-07,3.6133216e-21
E16-18h_a_S06_3200x114060-slice5,3.1232704e-19,1.7523435e-19,0.80288,1.6133253e-11,0.09824703,4.7734567e-20,2.6051714e-06,1.3837869e-20,1.9885722e-08,2.173742e-19,2.909129e-06,0.09886751,1.4245909e-19,9.466934e-20,2.5428197e-09,4.0480772e-19
E16-18h_a_S06_3220x113940-slice5,8.3471246e-17,5.8363535e-17,0.8490585,1.2193788e-08,0.02637074,3.1196875e-17,1.8910304e-11,6.4314335e-18,2.2059374e-09,9.9612795e-17,4.7096864e-09,0.1243497,5.579528e-17,5.0370885e-17,0.00022102812,2.3149085e-17
E16-18h_a_S06_3220x113960-slice5,8.79835e-20,6.8657665e-20,0.81068885,1.0410688e-10,0.104360126,4.5585025e-20,1.6602235e-12,1.0878564e-20,4.0752923e-10,1.1726831e-19,9.2488195e-10,0.08494797,6.892139e-20,6.523803e-20,2.9780585e-06,1.3709523e-20
E16-18h_a_S06_3220x113980-slice5,2.6167957e-23,1.22831204e-23,0.9048582,1.416171e-10,0.045501817,2.9522029e-24,1.906021e-12,2.3913313e-25,5.816332e-12,2.2686942e-23,2.4124747e-09,0.049639925,9.7342596e-24,6.5632293e-24,1.0022305e-08,1.7946576e-23
E16-18h_a_S06_3220x114000-slice5,4.4120955e-24,2.578289e-24,0.95898914,5.9856287e-13,0.009866087,1.0491725e-24,7.163744e-11,1.8419653e-25,1.629342e-12,4.1170457e-24,1.1009262e-11,0.031144796,2.1884993e-24,1.6573437e-24,8.341906e-09,4.269927e-24
E16-18h_a_S06_3220x114020-slice5,2.1343654e-23,1.2239903e-23,0.927614,1.0582699e-11,0.06791065,5.0020013e-24,4.8009024e-08,2.0709313e-24,2.8783663e-11,1.8082847e-23,7.3745476e-10,0.0044754054,9.749757e-24,7.018871e-24,1.41874e-09,2.7911483e-23
E16-18h_a_S06_3220x114040-slice5,1.6267574e-24,8.73955e-25,0.9605082,2.5518261e-06,0.006799169,2.5051747e-25,7.49154e-12,3.921859e-26,6.697255e-14,1.6691762e-24,4.531523e-09,0.032689977,6.9108904e-25,4.649107e-25,6.4096665e-11,4.5824125e-24
E16-18h_a_S06_3220x114060-slice5,1.425879e-22,6.7523805e-23,0.8957638,5.2898706e-13,0.06491044,1.4637401e-23,1.0505977e-10,2.0153325e-24,1.1983269e-10,9.647722e-23,3.852501e-08,0.039325796,5.1157418e-23,3.3004394e-23,1.2311847e-09,1.0935513e-22
E16-18h_a_S06_3220x114080-slice5,5.1582365e-21,2.5380323e-21,0.8576025,2.0253346e-09,0.09951304,5.7457614e-22,3.466522e-08,3.8362268e-23,9.788148e-13,3.2469606e-21,1.8452429e-08,0.042884514,1.7694948e-21,1.2196021e-21,2.4379507e-09,1.33685296e-20
E16-18h_a_S06_3220x114100-slice5,2.0191477e-19,1.2898191e-19,0.8946646,2.020438e-08,0.10529661,6.39433e-20,1.9002384e-09,1.4271652e-20,7.551409e-09,1.8224927e-19,3.2078098e-09,3.8578837e-05,1.1270663e-19,9.0007145e-20,2.4539654e-07,1.4047182e-19
E16-18h_a_S06_3220x114120-slice5,5.0763677e-20,3.8806962e-20,0.76580805,1.6911433e-06,0.110426694,2.745828e-20,1.7038731e-07,3.3101918e-21,6.934472e-12,6.040421e-20,9.08802e-09,0.123763435,3.4823115e-20,3.0889845e-20,2.5788316e-09,1.1249532e-19
